,Customer ID,Age,Gender,Loyalty Member,Product Type,ProductTypeID,SKU,Rating,Order Status,StatusID,Payment Method,PaymentMethodID,Total Price,Unit Price,Quantity,DateKey,Shipping Type,ShippingTypeID,Add-ons Purchased,Add-on Total,Total Order Price
0,1000,53,Male,No,Smartphone,1,SKU1004,2,Cancelled,1,Credit Card,1,5538.33,791.19,7,20240320,Standard,1,"Accessory,Accessory,Accessory",40.21,5578.54
1,1000,53,Male,No,Tablet,2,SKU1002,3,Completed,2,PayPal,2,741.09,247.03,3,20240420,Overnight,2,Impulse Item,26.09,767.1800000000001
2,1002,41,Male,No,Laptop,3,SKU1005,3,Completed,2,Credit Card,1,1855.84,463.96,4,20231017,Express,3,,0.0,1855.84
3,1002,41,Male,Yes,Smartphone,1,SKU1004,2,Completed,2,Cash,3,3164.76,791.19,4,20240809,Overnight,2,"Impulse Item,Impulse Item",60.16,3224.92
4,1003,75,Male,Yes,Smartphone,1,SKU1001,5,Completed,2,Cash,3,41.5,20.75,2,20240521,Express,3,Accessory,35.56,77.06
5,1004,41,Female,No,Smartphone,1,SKU1001,5,Completed,2,Credit Card,1,83.0,20.75,4,20240526,Standard,1,"Impulse Item,Accessory",65.78,148.78
6,1005,25,Female,No,Smartwatch,4,SKU1003,3,Completed,2,PayPal,2,7603.47,844.83,9,20240130,Overnight,2,,0.0,7603.47
7,1005,25,Female,No,Laptop,3,SKU1005,3,Completed,2,Debit Card,4,4175.64,463.96,9,20240624,Overnight,2,"Extended Warranty,Extended Warranty",75.33,4250.97
8,1006,24,Male,No,Smartphone,1,SKU1004,2,Cancelled,1,Debit Card,4,5538.33,791.19,7,20231003,Standard,1,Impulse Item,43.05,5581.38
9,1006,24,Male,Yes,Laptop,3,SKU1005,3,Completed,2,Cash,3,4175.64,463.96,9,20240101,Express,3,,0.0,4175.64
10,1006,24,Male,Yes,Tablet,2,SKU1002,3,Completed,2,PayPal,2,2470.3,247.03,10,20240625,Overnight,2,"Impulse Item,Accessory,Impulse Item",90.38,2560.6800000000003
11,1007,35,Male,No,Smartphone,1,SKU1004,2,Cancelled,1,Credit Card,1,7120.71,791.19,9,20231107,Overnight,2,"Accessory,Extended Warranty",55.48,7176.19
12,1008,66,Female,No,Smartwatch,4,SKU1003,3,Completed,2,Cash,3,3379.32,844.83,4,20230925,Express,3,"Extended Warranty,Impulse Item,Extended Warranty",65.85,3445.17
13,1011,72,Male,No,Smartphone,1,SKU1004,2,Completed,2,Credit Card,1,7911.9,791.19,10,20240707,Standard,1,"Accessory,Accessory,Accessory",70.17,7982.07
14,1013,42,Female,No,Smartphone,1,SKU1004,2,Cancelled,1,PayPal,2,5538.33,791.19,7,20240318,Overnight,2,"Accessory,Impulse Item,Accessory",57.81,5596.14
15,1014,73,Female,No,Smartwatch,4,SKU1003,3,Cancelled,1,Credit Card,1,5068.98,844.83,6,20240102,Standard,1,"Extended Warranty,Extended Warranty",69.31,5138.29
16,1014,73,Female,Yes,Smartphone,1,SKU1004,2,Completed,2,Cash,3,4747.14,791.19,6,20240518,Standard,1,Accessory,8.3,4755.4400000000005
17,1015,22,Male,No,Smartphone,1,SKU1001,5,Completed,2,PayPal,2,83.0,20.75,4,20240902,Standard,1,"Accessory,Accessory,Accessory",80.0,163.0
18,1016,61,Male,Yes,Smartphone,1,SKU1001,5,Completed,2,PayPal,2,103.75,20.75,5,20240707,Overnight,2,,0.0,103.75
19,1018,34,Male,No,Smartphone,1,SKU1001,5,Completed,2,PayPal,2,124.5,20.75,6,20240723,Express,3,"Impulse Item,Extended Warranty",70.39,194.89
20,1019,45,Male,No,Smartphone,1,SKU1001,5,Cancelled,1,Cash,3,83.0,20.75,4,20240314,Express,3,,0.0,83.0
21,1019,45,Male,No,Tablet,2,SKU1002,3,Completed,2,Cash,3,988.12,247.03,4,20240420,Express,3,"Impulse Item,Impulse Item",37.87,1025.99
22,1019,45,Male,Yes,Smartwatch,4,SKU1003,3,Cancelled,1,PayPal,2,844.83,844.83,1,20240721,Express,3,Accessory,49.17,894.0
23,1020,57,Female,No,Smartwatch,4,SKU1003,3,Cancelled,1,Debit Card,4,3379.32,844.83,4,20231202,Express,3,"Impulse Item,Accessory,Extended Warranty",37.13,3416.4500000000003
24,1021,71,Female,Yes,Smartwatch,4,SKU1003,3,Completed,2,Cash,3,844.83,844.83,1,20240320,Overnight,2,"Accessory,Extended Warranty",49.54,894.37
25,1022,76,Female,No,Smartwatch,4,SKU1003,3,Cancelled,1,PayPal,2,6758.64,844.83,8,20240427,Overnight,2,"Impulse Item,Accessory,Impulse Item",73.49,6832.13
26,1024,49,Female,No,Smartphone,1,SKU1004,2,Completed,2,Cash,3,1582.38,791.19,2,20240710,Overnight,2,"Extended Warranty,Impulse Item",51.93,1634.3100000000002
27,1025,77,Male,No,Laptop,3,SKU1005,3,Completed,2,Debit Card,4,2783.76,463.96,6,20240129,Overnight,2,,0.0,2783.76
28,1025,77,Male,No,Smartphone,1,SKU1001,5,Completed,2,Cash,3,83.0,20.75,4,20240828,Express,3,"Extended Warranty,Extended Warranty",77.78,160.78
29,1027,22,Male,No,Smartphone,1,SKU1004,2,Completed,2,PayPal,2,4747.14,791.19,6,20231128,Overnight,2,,0.0,4747.14
